Recieved message: ,0,0,1,0
Sent ack,0,1,1,1
Sent ack,1,1,0,1
Recieved message: hello,1,1,0,0
Sent ack,1,6,0,1
Recieved message: my,7,6,0,0
Sent ack,1,8,0,1
Recieved message: my,7,6,0,0
Sent ack,1,10,0,1
Recieved message: name,15,8,0,0
Sent ack,1,14,0,1
Recieved message: is,25,10,0,0
Sent ack,1,16,0,1
Recieved message: tak,41,16,0,0
Sent ack,1,19,0,1
Recieved message: what,60,19,0,0
Sent ack,1,23,0,1
Recieved message: isis,83,23,0,0
Sent ack,1,27,0,1
Recieved message: going,110,27,0,0
Sent ack,1,32,0,1
Recieved message: on,142,32,0,0
Sent ack,1,34,0,1
Recieved message: hah,176,34,0,0
Sent ack,1,37,0,1
Recieved message: ha,213,37,0,0
Sent ack,1,39,0,1
